OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1,1,1,510103,Bellavista,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,29,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.51380154,500.62836773,0.00412927928206117,1.02408832116222e-06
2,2,2,510105,Buena Vista,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.67004587,603.11658234,0.00482368526275939,1.12952622392763e-06
3,3,3,510106,Los Fleteros,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,56,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.49148542,959.04502664,0.00786583009427014,1.68506460054388e-06
4,4,4,510107,Pueblo Hundido,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,65,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.60232297,1360.41009218,0.0113128338178559,3.11262275893877e-06
5,5,5,510108,Villa Italia Turín,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,33,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.86734704,447.88345173,0.00369489399440954,5.86659463563749e-07
6,6,6,510109,Nueva Esperanza,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.39939961,340.83318056,0.00284870752148783,2.70211889149723e-07
7,7,7,510110,Francisco Vergara,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,24,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.84686062,1325.75715048,0.0107472100433487,1.925353618833e-06
8,8,8,510111,Manuel Rodríguez,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.44280142,352.74923035,0.00291342345998526,2.99435676179735e-07
9,9,9,510112,Sofia 35,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,69,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.68439035,1605.3487159,0.0132571862711292,1.81558041880599e-06
10,10,10,580401,Las Viñas De Irene Frei,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.24114963,834.72454965,0.00636664145645676,8.39719965759401e-07
11,11,11,580402,Lomas De Bellavista,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,42,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.96877401,960.05018555,0.00764781130979871,2.68389852712534e-06
12,12,12,580403,Manzana 33,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,37,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.185613,601.50046615,0.00488530005465534,1.47818395489312e-06
13,13,13,580404,Ampliación Prat-Lomas De Peñablanca,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,146,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,15.07016805,2170.66297481,0.0173937517180841,1.0192281845739e-05
14,14,14,510911,Los Artesanos,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,35,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.0015937,787.92989194,0.0065587640438047,1.35393894555228e-06
