"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"1";"Bellavista";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;29;1,51380154;10617,23290857;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"2";"Buena Vista";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;32;1,67004587;11707,445934285;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"3";"Los Fleteros";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;56;2,49148542;17465,45032668;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"4";"Pueblo Hundido";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;65;4,60232297;32261,177602955;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"5";"Villa Italia Turín";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;33;0,86734704;6080,65408851;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"6";"Nueva Esperanza";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;17;0,39939961;2801,61643282;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"7";"Francisco Vergara";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;24;2,84686062;19954,735475345;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"8";"Manuel Rodríguez";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;21;0,44280142;3102,94101487;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"9";"Sofia 35";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;69;2,68439035;18818,66116556;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"10";"Las Viñas De Irene Frei";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;32;1,24114963;8704,2271818;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"11";"Lomas De Bellavista";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;42;3,96877401;27807,63111044;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"12";"Manzana 33";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;37;2,185613;15316,434342285;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"13";"Ampliación Prat-Lomas De Peñablanca";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;146;15,07016805;105607,72296588;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"14";"Los Artesanos";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;35;2,0015937;14033,771614335;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"15";"La Unión - Elías Lafferte";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;20;1,32627982;9298,484383845;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
